Team,Total Goals,Points,Wins,Tied,Losses,Goals Conceded,Games Played,Wins %,Tied%,Losses%,Goals per Match,Goals Conceded per Match
Algeria,13,12,3,3,7,19,13,23.1,23.1,53.8,1,1.5
Angola,1,2,0,2,1,2,3,0,66.7,33.3,0.3,0.7
Argentina,152,170,47,17,24,101,88,53.4,19.3,27.3,1.7,1.1
Australia,17,16,4,4,12,37,20,20,20,60,0.9,1.9
Austria,43,40,12,4,13,47,29,41.4,13.8,44.8,1.5,1.6
Belgium,69,75,21,10,20,74,51,41.2,19.6,39.2,1.4,1.5
Bolivia,1,1,0,1,5,20,6,0,16.7,83.3,0.2,3.3
Bosnia and Herzegovina,4,3,1,0,2,4,3,33.3,0,66.7,1.3,1.3
Brazil,237,253,76,19,19,108,114,66.7,16.7,16.7,2.1,0.9
Bulgaria,22,19,3,8,15,53,26,11.5,30.8,57.7,0.8,2
Cameroon,22,23,5,8,13,47,26,19.2,30.8,50,0.8,1.8
Canada,2,0,0,0,6,12,6,0,0,100,0.3,2
Chile,40,40,11,7,15,49,33,33.3,21.2,45.5,1.2,1.5
China,0,0,0,0,3,9,3,0,0,100,0,3
Colombia,32,30,9,3,10,30,22,40.9,13.6,45.5,1.5,1.4
Costa Rica,22,25,6,5,10,39,21,28.6,23.8,47.6,1,1.9
Croatia,43,55,13,8,9,33,30,43.3,26.7,30,1.4,1.1
Cuba,5,4,1,1,1,12,3,33.3,33.3,33.3,1.7,4
Czech Republic,3,3,1,0,2,4,3,33.3,0,66.7,1,1.3
Czechoslovakia,44,38,11,5,14,45,30,36.7,16.7,46.7,1.5,1.5
DR Congo,0,0,0,0,3,14,3,0,0,100,0,4.7
Denmark,31,33,9,6,8,29,23,39.1,26.1,34.8,1.3,1.3
East Germany,5,8,2,2,2,5,6,33.3,33.3,33.3,0.8,0.8
Ecuador,14,17,5,2,6,14,13,38.5,15.4,46.2,1.1,1.1
Egypt,5,2,0,2,5,12,7,0,28.6,71.4,0.7,1.7
El Salvador,1,0,0,0,6,22,6,0,0,100,0,3.7
England,104,120,32,22,20,68,74,43.2,29.7,27,1.4,0.9
France,136,135,39,14,20,85,73,53.4,19.2,27.4,1.9,1.2
Germany,232,233,68,21,23,130,112,60.7,18.8,20.5,2.1,1.2
Ghana,18,18,5,3,7,23,15,33.3,20,46.7,1.2,1.5
Greece,5,8,2,2,6,20,10,20,20,60,0.5,2
Haiti,2,0,0,0,3,14,3,0,0,100,0.7,4.7
Honduras,3,3,0,3,6,14,9,0,33.3,66.7,0.3,1.6
Hungary,87,48,15,3,14,57,32,46.9,9.4,43.8,2.7,1.8
Iceland,2,1,0,1,2,5,3,0,33.3,66.7,0.7,1.7
Indonesia,0,0,0,0,1,6,1,0,0,100,0,6
Iran,13,13,3,4,11,31,18,16.7,22.2,61.1,0.7,1.7
Iraq,1,0,0,0,3,4,3,0,0,100,0.3,1.3
Israel,1,2,0,2,1,3,3,0,66.7,33.3,0,1
Italy,128,158,45,21,17,77,83,54.2,25.3,20.5,1.5,0.9
Ivory Coast,13,10,3,1,5,14,9,33.3,11.1,55.6,1.4,1.6
Jamaica,3,3,1,0,2,9,3,33.3,0,66.7,1,3
Japan,25,27,7,6,12,33,25,28,24,48,1,1.3
Kuwait,2,1,0,1,2,6,3,0,33.3,66.7,0,2
Mexico,62,66,17,15,28,101,60,28.3,25,46.7,1,1.7
Morocco,20,24,5,7,11,27,23,21.7,30.4,47.8,0.9,1.2
Netherlands,96,106,30,14,11,52,55,54.5,25.5,20,1.7,0.9
New Zealand,4,3,0,3,3,14,6,0,50,50,0.7,2.3
Nigeria,23,21,6,3,12,30,21,28.6,14.3,57.1,1.1,1.4
North Korea,6,4,1,1,5,21,7,14.3,14.3,71.4,0.9,3
Northern Ireland,13,14,3,5,5,23,13,23.1,38.5,38.5,1,1.8
Norway,7,9,2,3,3,8,8,25,37.5,37.5,0.9,1
Panama,2,0,0,0,3,11,3,0,0,100,0.7,3.7
Paraguay,30,33,7,10,10,38,27,25.9,37,37,1.1,1.4
Peru,21,18,5,3,10,33,18,27.8,16.7,55.6,1.2,1.8
Poland,49,57,17,6,15,50,38,44.7,15.8,39.5,1.3,1.3
Portugal,61,59,17,6,12,41,35,48.6,17.1,34.3,1.7,1.2
Qatar,1,0,0,0,3,7,3,0,0,100,0.3,2.3
Republic of Ireland,10,16,2,8,3,10,13,15.4,61.5,23.1,0.8,0.8
Romania,30,29,8,5,8,32,21,38.1,23.8,38.1,1.4,1.5
Russia,77,69,19,10,16,54,45,42.2,22.2,35.6,1.7,1.2
Saudi Arabia,14,14,4,2,13,44,19,21.1,10.5,68.4,0.7,2.3
Scotland,25,19,4,7,12,41,23,17.4,30.4,52.2,1.1,1.8
Senegal,16,18,5,3,4,17,12,41.7,25,33.3,1.3,1.4
Serbia,11,7,2,1,9,25,12,16.7,8.3,75,0.9,2.1
Slovakia,5,4,1,1,2,7,4,25,25,50,1.3,1.8
Slovenia,5,4,1,1,4,10,6,16.7,16.7,66.7,0.8,1.7
South Africa,11,10,2,4,3,16,9,22.2,44.4,33.3,1.2,1.8
South Korea,39,33,7,10,21,78,38,18.4,26.3,55.3,1,2.1
Spain,108,112,31,17,19,75,67,46.3,25.4,28.4,1.6,1.1
Sweden,80,72,19,13,19,73,51,37.3,25.5,37.3,1.6,1.4
Switzerland,55,50,14,8,19,73,41,34.1,19.5,46.3,1.3,1.8
Togo,1,0,0,0,3,6,3,0,0,100,0.3,2
Trinidad and Tobago,0,1,0,1,2,4,3,0,33.3,66.7,0,1.3
Tunisia,14,14,3,5,10,26,18,16.7,27.8,55.6,0.8,1.4
Turkey,20,16,5,1,4,17,10,50,10,40,2,1.7
Ukraine,5,9,2,1,2,7,5,40,20,40,1,1.4
United Arab Emirates,2,0,0,0,3,11,3,0,0,100,0.7,3.7
United States,40,35,9,8,20,66,37,24.3,21.6,54.1,1.1,1.8
Uruguay,89,90,25,13,21,76,59,42.4,22,35.6,1.5,1.3
Wales,5,7,1,4,3,10,8,12.5,50,37.5,0.6,1.3
Yugoslavia,60,56,16,8,13,46,37,43.2,21.6,35.1,1.6,1.2
